,song_name_api_opus,song_name_opus,artist_name_opus,catalog_name_opus,owned_catalog_opus,input_parameter,country_code,song_id_luminate_opus,isrc_opus,album_name_opus,release_date_opus,metric_luminate,start_week_id,end_week_id
36,Ramona,Ramona,"Hopsin, Jarren Benton",Hopsin,No,isrc,G1,,USWB11506713,Pound Syndrome,2015-07-24 00:00:00,StreamingOnDemand,201840,202335
37,Mr. Jones,Mr. Jones,Hopsin,Hopsin,No,isrc,G1,,USWB11506714,Pound Syndrome,2015-07-24 00:00:00,StreamingOnDemand,201840,202335
38,Fort Collins,Fort Collins,"Hopsin, Dizzy Wright",Hopsin,No,isrc,G1,,USWB11506715,Pound Syndrome,2015-09-03 00:00:00,StreamingOnDemand,201840,202335
39,No Words - Skit,No Words - Skit,Hopsin,Hopsin,No,isrc,G1,,USWB11506716,Pound Syndrome,2015-07-24 00:00:00,StreamingOnDemand,201840,202335
40,Crown Me,Crown Me,Hopsin,Hopsin,No,isrc,G1,,USWB11506555,Pound Syndrome,06/01/2015,StreamingOnDemand,201840,202335
41,Ill Mind of Hopsin 7,Ill Mind of Hopsin 7,Hopsin,Hopsin,No,isrc,G1,,USWB11401936,Pound Syndrome,2014-07-18 00:00:00,StreamingOnDemand,201840,202335
42,FV Till I Die,FV Till I Die,"Hopsin, SwizZz",Hopsin,No,isrc,G1,,USWB11507743,Pound Syndrome,07/24/2015,StreamingOnDemand,201840,202335
43,My Love,My Love,Hopsin,Hopsin,No,isrc,G1,,USWB11507744,Pound Syndrome,2015-07-24 00:00:00,StreamingOnDemand,201840,202335
44,No Fucks Given,No Fucks Given,Hopsin,Hopsin,No,isrc,G1,,USWB11507745,Pound Syndrome,2015-07-24 00:00:00,StreamingOnDemand,201840,202335
45,Fly,Fly,Hopsin,Hopsin,No,isrc,G1,,USWB11507606,Pound Syndrome,2015-07-24 00:00:00,StreamingOnDemand,201840,202335
46,I Just Can't,I Just Can't,Hopsin,Hopsin,No,isrc,G1,,USWB11507746,Pound Syndrome,2015-07-24 00:00:00,StreamingOnDemand,201840,202335
47,The Fiends Are Knocking,The Fiends Are Knocking,Hopsin,Hopsin,No,isrc,G1,,USUYG1037589,Knock Madness,2013-11-26 00:00:00,StreamingOnDemand,201840,202335
48,Hop is Back,Hop is Back,Hopsin,Hopsin,No,isrc,G1,,USUYG1037590,Knock Madness,2013-10-22 00:00:00,StreamingOnDemand,201840,202335
49,Who's There,Who's There,"Hopsin, Jarren Bentton, Dizzy Wright",Hopsin,No,isrc,G1,,USUYG1037591,Knock Madness,2013-11-26 00:00:00,StreamingOnDemand,201840,202335
50,Tears To Snow,Tears To Snow,Hopsin,Hopsin,No,isrc,G1,,USUYG1037592,Knock Madness,2013-11-26 00:00:00,StreamingOnDemand,201840,202335
51,Rip Your Heart Out,Rip Your Heart Out,"Hopsin, Tech N9ne",Hopsin,No,isrc,G1,,USUYG1037593,Knock Madness,2013-11-12 00:00:00,StreamingOnDemand,201840,202335
52,Nollie Tre Flip,Nollie Tre Flip,Hopsin,Hopsin,No,isrc,G1,,USUYG1037594,Knock Madness,2013-11-26 00:00:00,StreamingOnDemand,201840,202335
53,Gimmie That Money,Gimmie That Money,Hopsin,Hopsin,No,isrc,G1,,USUYG1037595,Knock Madness,2013-11-26 00:00:00,StreamingOnDemand,201840,202335
54,I Need Help,I Need Help,Hopsin,Hopsin,No,isrc,G1,,USUYG1037596,Knock Madness,2013-11-26 00:00:00,StreamingOnDemand,201840,202335
55,Hip Hop Sinister,Hip Hop Sinister,Hopsin,Hopsin,No,isrc,G1,,USUYG1037597,Knock Madness,11/26/2013,StreamingOnDemand,201840,202335
56,Good Guys Get Left Behind,Good Guys Get Left Behind,Hopsin,Hopsin,No,isrc,G1,,USUYG1037598,Knock Madness,2013-11-26 00:00:00,StreamingOnDemand,201840,202335
57,Bad Manners Freestyle,Bad Manners Freestyle,Hopsin,Hopsin,No,isrc,G1,,USUYG1037599,Knock Madness,11/26/2013,StreamingOnDemand,201840,202335
58,Old Friend,Old Friend,Hopsin,Hopsin,No,isrc,G1,,USUYG1032052,Knock Madness,2013-07-18 00:00:00,StreamingOnDemand,201840,202335
59,Still Got Love For You,Still Got Love For You,Hopsin,Hopsin,No,isrc,G1,,USUYG1037601,Knock Madness,11/26/2013,StreamingOnDemand,201840,202335
60,Jungle Bash,Jungle Bash,"Hopsin, SwizZz",Hopsin,No,isrc,G1,,USUYG1037602,Knock Madness,11/26/2013,StreamingOnDemand,201840,202335
61,Lunch Time Cypher,Lunch Time Cypher,Hopsin,Hopsin,No,isrc,G1,,USUYG1037603,Knock Madness,11/26/2013,StreamingOnDemand,201840,202335
62,Dream Forever,Dream Forever,Hopsin,Hopsin,No,isrc,G1,,USUYG1037604,Knock Madness,11/26/2013,StreamingOnDemand,201840,202335
63,What's My Purpose,What's My Purpose,Hopsin,Hopsin,No,isrc,G1,,USUYG1037605,Knock Madness,11/26/2013,StreamingOnDemand,201840,202335
64,Caught In The Rain,Caught In The Rain,Hopsin,Hopsin,No,isrc,G1,,USUYG1037606,Knock Madness,2013-11-26 00:00:00,StreamingOnDemand,201840,202335
65,Funk Volume,Funk Volume,"Hopsin, SwizZz",Hopsin,No,isrc,G1,,USUYG1025988,Haywire,2009-05-02 00:00:00,StreamingOnDemand,201840,202335
66,Bad Motherf*cker,Bad Motherf*cker,"Hopsin, SwizZz",Hopsin,No,isrc,G1,,USUYG1016504,Haywire,2009-06-18 00:00:00,StreamingOnDemand,201840,202335
67,Too Far Gone,Too Far Gone,"Hopsin, SwizZz",Hopsin,No,isrc,G1,,USUYG1016505,Haywire,2009-06-18 00:00:00,StreamingOnDemand,201840,202335
68,It's All Good Now,It's All Good Now,Hopsin,Hopsin,No,isrc,G1,,USUYG1016506,Haywire,2009-06-18 00:00:00,StreamingOnDemand,201840,202335
69,Lucifer Effect,Lucifer Effect,"Hopsin, SwizZz",Hopsin,No,isrc,G1,,USUYG1016507,Haywire,2009-04-18 00:00:00,StreamingOnDemand,201840,202335
70,I Make The World Spin,I Make The World Spin,Hopsin,Hopsin,No,isrc,G1,,USUYG1016509,Haywire,2009-06-18 00:00:00,StreamingOnDemand,201840,202335
71,Blow A Cloud,Blow A Cloud,"Hopsin, SwizZz",Hopsin,No,isrc,G1,,USUYG1016510,Haywire,2009-06-18 00:00:00,StreamingOnDemand,201840,202335
72,Turn It Up,Turn It Up,"Hopsin, SwizZz",Hopsin,No,isrc,G1,,USUYG1016511,Haywire,2009-06-18 00:00:00,StreamingOnDemand,201840,202335
73,Really Wanna Know,Really Wanna Know,"Hopsin, SwizZz",Hopsin,No,isrc,G1,,USUYG1016512,Haywire,2009-06-18 00:00:00,StreamingOnDemand,201840,202335
74,The Hop Train,The Hop Train,Hopsin,Hopsin,No,isrc,G1,,USUYG1016513,Haywire,06/18/2009,StreamingOnDemand,201840,202335
75,Low-Dough,Low-Dough,"Hopsin, SwizZz",Hopsin,No,isrc,G1,,USUYG1016514,Haywire,2009-06-18 00:00:00,StreamingOnDemand,201840,202335
76,Cover Up,Cover Up,Hopsin,Hopsin,No,isrc,G1,,USUYG1016516,Haywire,2009-06-18 00:00:00,StreamingOnDemand,201840,202335
77,Ramble,Ramble,"Hopsin, SwizZz",Hopsin,No,isrc,G1,,USUYG1016517,Haywire,2009-06-18 00:00:00,StreamingOnDemand,201840,202335
78,Leave Me Alone,Leave Me Alone,Hopsin,Hopsin,No,isrc,G1,,USUYG1016518,Haywire,2009-06-18 00:00:00,StreamingOnDemand,201840,202335
79,Intro- Skit,Intro- Skit,Hopsin,Hopsin,No,isrc,G1,,US23S0846101,Gazing at the Moonlight,2009-10-27 00:00:00,StreamingOnDemand,201840,202335
80,I'm Here,I'm Here,Hopsin,Hopsin,No,isrc,G1,,US23S0846102,Gazing at the Moonlight,2009-10-27 00:00:00,StreamingOnDemand,201840,202335
81,Break It Down,Break It Down,Hopsin,Hopsin,No,isrc,G1,,US23S0846103,Gazing at the Moonlight,2009-10-27 00:00:00,StreamingOnDemand,201840,202335
82,Who Do You Think I Am,Who Do You Think I Am,Hopsin,Hopsin,No,isrc,G1,,US23S0846104,Gazing at the Moonlight,2009-10-27 00:00:00,StreamingOnDemand,201840,202335
83,Sexy Cyber,Sexy Cyber,Hopsin,Hopsin,No,isrc,G1,,US23S0846105,Gazing at the Moonlight,2009-10-27 00:00:00,StreamingOnDemand,201840,202335
84,Pans in the Kitchen,Pans in the Kitchen,Hopsin,Hopsin,No,isrc,G1,,US23S0846106,Gazing at the Moonlight,10/27/2009,StreamingOnDemand,201840,202335
85,Story of Mine,Story of Mine,Hopsin,Hopsin,No,isrc,G1,,US23S0846107,Gazing at the Moonlight,2009-10-27 00:00:00,StreamingOnDemand,201840,202335
86,Bubblies,Bubblies,Hopsin,Hopsin,No,isrc,G1,,US23S0846108,Gazing at the Moonlight,2009-10-27 00:00:00,StreamingOnDemand,201840,202335
87,Chris Dolmeth,Chris Dolmeth,Hopsin,Hopsin,No,isrc,G1,,US23S0846109,Gazing at the Moonlight,2009-10-27 00:00:00,StreamingOnDemand,201840,202335
